model,vocab,acc_mean,acc_std,pre_mean,pre_std,rec_mean,rec_std,f1_mean,f1_std,auc_mean,auc_std,fpr_mean,fpr_std
lr,260238,0.7770643401852012,0.0067898789934849125,0.7610449847631722,0.02278301688413341,0.6771616687989516,0.027593619897316762,0.7158355667626577,0.009586466991844894,0.8454437717068866,0.011901026486904756,0.1836114361402429,0.007989870694600696
nb,260238,0.6801666738338923,0.006970749998929243,0.7531087850111744,0.017761587739735105,0.34291821387337346,0.035297416608779025,0.4697531077367142,0.030163432164099745,0.7611509716535275,0.0065282688091813125,0.2291786385654247,0.0028782616920270663
lsvm,260238,0.7547352068461339,0.012195735394421994,0.7180499372646055,0.01970823604293896,0.6748848046098959,0.028285201744217548,0.6953167384571796,0.016873089533518973,0.0,0.0,0.20539705267329164,0.011024112154622361
sgd,260238,0.7575728906854735,0.012360501625036921,0.7262488595477441,0.044558154966613854,0.6780374658054316,0.0461662236115309,0.6985353131628573,0.012946542031065237,0.0,0.0,0.2034705051161128,0.016395520900169124
svm,260238,0.7641920028095525,0.0204564490574857,0.7865722855551015,0.016196905057133545,0.5937238014998805,0.06984492059246951,0.6741047009266898,0.04413879411583405,0.8410119249429201,0.013698732760103145,0.18519921220895783,0.011315147171989717
knn,260238,0.6841412588515238,0.008744130694951474,0.8504593815683655,0.0428308426682037,0.2913741275834451,0.022668939459045058,0.43316646047438195,0.023973187193080076,0.7009772237534484,0.02718072041238079,0.21900229949023622,0.005812909545696373
rf,260238,0.752457104154124,0.02011580785357512,0.8160423340834362,0.012259801841618775,0.5216775361188255,0.06384205061965081,0.6340135711100467,0.04651515613697702,0.8355572773196789,0.013258634194688161,0.18736540081911549,0.011062274132366122
gb,260238,0.745835841862332,0.00648601851661558,0.7639481970127131,0.015707014549186844,0.5622491964926515,0.03126638631437739,0.646944568348347,0.017107946927225746,0.8203213720407728,0.011421975747992546,0.19870677266739126,0.004323588732407329
mlp,260238,0.7789575628565695,0.014335195184576108,0.7610530115123428,0.02895344383818232,0.6853922884097317,0.047948753159640534,0.7195480268281779,0.022515361050023823,0.84371960884873,0.01175138898192102,0.18283954608270656,0.013429632806954923
