model,vocab,acc_mean,acc_std,pre_mean,pre_std,rec_mean,rec_std,f1_mean,f1_std,auc_mean,auc_std,fpr_mean,fpr_std
lr,260238,0.779333663025716,0.005202439533205677,0.7641409650637098,0.015524684404833216,0.6785325719516128,0.0219552825909041,0.7183609746643113,0.008757611331276432,0.840223667606603,0.007005583272572929,0.1814921268814968,0.00517835073337699
nb,260238,0.678463561824489,0.007682791285191609,0.764236334284286,0.02098230842924196,0.3274180630532239,0.0330762406808718,0.45702723388632416,0.02982515841495811,0.780938704375034,0.0062719070712785735,0.22857482862779457,0.0041851780455185944
lsvm,260238,0.7583268828301941,0.011045490952871207,0.7169603206534872,0.012743787731389847,0.6903839152910829,0.02703756366200681,0.7031600288916805,0.016543040932627474,0.0,0.0,0.20387954614833675,0.008563617393766782
sgd,260238,0.7596528195865944,0.013049138880878101,0.7332001943411399,0.022376555294703785,0.6634859217191418,0.028416729443995852,0.6960206890314425,0.016815744980942314,0.0,0.0,0.1989115037701198,0.012218148443733987
svm,260238,0.7617314942232161,0.0189613034470589,0.7841213273475373,0.01106970167715788,0.5882599515295245,0.06276786014954894,0.6702365705694586,0.039903864769036956,0.8427623997940689,0.01517903732826166,0.18686721268727666,0.010753300973492214
knn,260238,0.6869782259682922,0.010359322710606723,0.8291737651900715,0.03907835944900667,0.31189190875901024,0.03659456322173396,0.45133133946384946,0.03655433366895604,0.7046735193331164,0.011823567007350114,0.2191644949727091,0.005529822427580248
rf,260238,0.7626781055589003,0.02003970463556515,0.8063216229261837,0.02019936845327196,0.5645489437388835,0.061898697243159426,0.6620059830879457,0.04092952442437307,0.8441361102087626,0.018794558838063725,0.18317060828607215,0.012148417501334993
gb,260238,0.7462139130185488,0.015659528824324906,0.7860907373550576,0.008069095322802098,0.5335299195972582,0.04782261652722762,0.6344878320019617,0.03539083981143853,0.8190847950864665,0.01573486580863464,0.19456773833162513,0.008477594233736542
mlp,260238,0.7764943665605918,0.006933741143353656,0.7532372891051662,0.01968620805724969,0.6894841950884637,0.04891171245050441,0.7182708968413924,0.020690191886195555,0.8356587651575659,0.012904413113690746,0.18564120933442033,0.0042374369334902155
