model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,129594,0.8698977523202924,0.8032166508987701,0.8217270194986073,0.6719817767653758,0.7393483709273184,0.8419452887537994,0.8419452887537994,0.8419452887537994,0.8318361541262034,0.7569635327595876,0.7906468298405589,0.15805471124620063
nb,129594,0.8514607337948117,0.7483443708609272,0.6593001841620626,0.8154897494305239,0.7291242362525457,0.765017667844523,0.765017667844523,0.765017667844523,0.7121589260032928,0.7902537086375234,0.7470709520485344,0.23498233215547704
lsvm,129594,0.0,0.8136234626300851,0.8306010928961749,0.6924829157175398,0.7552795031055901,0.8495034377387318,0.8495034377387318,0.8495034377387318,0.8400522653174534,0.7709931767281358,0.802391470422161,0.15049656226126817
sgd,129594,0.0,0.7767265846736046,0.776566757493188,0.6492027334851936,0.707196029776675,0.8195718654434251,0.8195718654434251,0.8195718654434251,0.7980693114683066,0.7343872994643094,0.76338394761005,0.18042813455657492
svm,129594,0.8561308062601825,0.7625354777672658,0.8615384615384616,0.510250569476082,0.6409155937052934,0.8226148409893993,0.8226148409893993,0.8226148409893993,0.8420766512639304,0.6664327052327407,0.7317652173473463,0.1773851590106007
knn,129594,0.7101016579310141,0.6915799432355724,0.900709219858156,0.28929384965831434,0.43793103448275866,0.78748370273794,0.78748370273794,0.78748370273794,0.8440964612980479,0.5383887761981272,0.6127073686103494,0.21251629726206
rf,129594,0.8591956565008735,0.7511825922421949,0.860655737704918,0.4783599088838269,0.6149341142020498,0.8162124388539483,0.8162124388539483,0.8162124388539483,0.8384340882794332,0.6472861738688876,0.7155732765279991,0.18378756114605166
gb,129594,0.8289065322039646,0.7559129612109745,0.8220640569395018,0.5261958997722096,0.6416666666666667,0.8149210903873745,0.8149210903873745,0.8149210903873745,0.8184925736634381,0.670558495079792,0.7282938785270205,0.18507890961262552
mlp,129594,0.8517666659294807,0.7928098391674551,0.7925531914893617,0.6788154897494305,0.7312883435582822,0.8314087759815242,0.8314087759815242,0.8314087759815242,0.8119809837354429,0.7551121328654773,0.7813485597699033,0.16859122401847582
