model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,5000,0.8353274211026827,0.7587511825922422,0.7473118279569892,0.6332574031890661,0.6855733662145499,0.8042977743668457,0.8042977743668457,0.8042977743668457,0.7758048011619174,0.718777588777956,0.7449355702906978,0.19570222563315431
nb,5000,0.8133592822758402,0.7123935666982024,0.6169844020797227,0.8109339407744874,0.7007874015748031,0.7231329690346083,0.7231329690346083,0.7231329690346083,0.6700586855571655,0.7670334549045479,0.7119601853047057,0.27686703096539167
lsvm,5000,0.0,0.7653736991485336,0.7290167865707434,0.6924829157175398,0.7102803738317757,0.8028616852146264,0.8028616852146264,0.8028616852146264,0.7659392358926849,0.7476723004660831,0.7565710295232011,0.19713831478537358
sgd,5000,0.0,0.7464522232734153,0.6983758700696056,0.6856492027334852,0.6919540229885057,0.7845659163987138,0.7845659163987138,0.7845659163987138,0.7414708932341596,0.7351075595660994,0.7382599696936097,0.21543408360128624
svm,5000,0.8459244679361009,0.7663197729422895,0.7696629213483146,0.6241457858769932,0.689308176100629,0.8127369219105383,0.8127369219105383,0.8127369219105383,0.7911999216294264,0.7184413538937657,0.7510225490055836,0.18726307808946174
knn,5000,0.7863893373436244,0.7105014191106906,0.6436285097192225,0.6788154897494305,0.6607538802660754,0.7475247524752476,0.7475247524752476,0.7475247524752476,0.6955766310972351,0.7131701211123391,0.7041393163706615,0.25247524752475237
rf,5000,0.8472458736021112,0.7729422894985809,0.8262295081967214,0.5740318906605922,0.6774193548387097,0.8248175182481752,0.8248175182481752,0.8248175182481752,0.8255235132224483,0.6994247044543838,0.7511184365434425,0.17518248175182483
gb,5000,0.8341939978326736,0.7549668874172185,0.7631578947368421,0.5945330296127562,0.6683738796414852,0.8057014253563392,0.8057014253563392,0.8057014253563392,0.7844296600465906,0.7001172274845477,0.7370376524989122,0.19429857464366085
mlp,5000,0.8364700591960251,0.7653736991485336,0.7175398633257403,0.7175398633257403,0.7175398633257403,0.7993527508090615,0.7993527508090615,0.7993527508090615,0.7584463070674009,0.7584463070674009,0.7584463070674009,0.20064724919093846
