model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,156333,0.864943863296253,0.7956480605487228,0.8038147138964578,0.6719817767653758,0.7320099255583126,0.834862385321101,0.834862385321101,0.834862385321101,0.8193385496087794,0.7534220810432384,0.7834361554397068,0.16513761467889898
nb,156333,0.8531525753588252,0.7549668874172185,0.6717557251908397,0.8018223234624146,0.731048805815161,0.7749782797567332,0.7749782797567332,0.7749782797567332,0.7233670024737864,0.7884003016095739,0.753013542785947,0.22502172024326683
lsvm,156333,0.0,0.7890255439924314,0.7857142857142857,0.6765375854214123,0.7270501835985311,0.8280647648419428,0.8280647648419428,0.8280647648419428,0.8068895252781143,0.7523011751316775,0.7775574742202369,0.1719352351580572
sgd,156333,0.0,0.7880794701986755,0.7628361858190709,0.7107061503416856,0.7358490566037735,0.8230647709320696,0.8230647709320696,0.8230647709320696,0.7929504783755703,0.7668854606368776,0.7794569137679216,0.17693522906793036
svm,156333,0.8610367782028882,0.7672658467360454,0.8458781362007168,0.5375854214123007,0.6573816155988859,0.82378223495702,0.82378223495702,0.82378223495702,0.8348301855788685,0.6806838281846603,0.7405819252779529,0.17621776504298003
knn,156333,0.6934928603548812,0.6963103122043519,0.9097222222222222,0.2984054669703872,0.44939965694682676,0.7903331156107121,0.7903331156107121,0.7903331156107121,0.8500276689164672,0.5443692912905497,0.6198663862787694,0.20966688438928793
rf,156333,0.854090644374166,0.7634815515610217,0.8764940239043825,0.5011389521640092,0.6376811594202899,0.8244382022471911,0.8244382022471911,0.8244382022471911,0.8504661130757868,0.6627885772056001,0.7310596808337405,0.1755617977528089
gb,156333,0.8438879919794178,0.7644276253547777,0.7914110429447853,0.5876993166287016,0.6745098039215687,0.815418828762046,0.815418828762046,0.815418828762046,0.8034149358534156,0.7015590726953738,0.7449643163418074,0.18458117123795403
mlp,156333,0.8663445164429306,0.7975402081362346,0.7892030848329049,0.6993166287015945,0.7415458937198067,0.8335925349922239,0.8335925349922239,0.8335925349922239,0.8113978099125644,0.7664545818469092,0.7875692143560153,0.16640746500777615
