model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,261263,0.8712984054669703,0.804162724692526,0.8391812865497076,0.6537585421412301,0.734955185659411,0.8447111777944487,0.8447111777944487,0.8447111777944487,0.8419462321720781,0.7492348599678393,0.7898331817269298,0.1552888222055513
nb,261263,0.8529572211041571,0.750236518448439,0.659963436928702,0.8223234624145785,0.7322515212981745,0.7659574468085106,0.7659574468085106,0.7659574468085106,0.7129604418686063,0.7941404546115446,0.7491044840533425,0.23404255319148937
lsvm,261263,0.0,0.8051087984862819,0.833810888252149,0.662870159453303,0.7385786802030456,0.8446455505279035,0.8446455505279035,0.8446455505279035,0.8392282193900262,0.7537578549906032,0.7916121153654745,0.15535444947209653
sgd,261263,0.0,0.7861873226111636,0.8,0.6469248291571754,0.7153652392947103,0.8287878787878787,0.8287878787878787,0.8287878787878787,0.8143939393939394,0.7378563539725271,0.7720765590412946,0.17121212121212126
svm,261263,0.8537165225468297,0.7464522232734153,0.8904109589041096,0.44419134396355353,0.5927051671732522,0.8159340659340659,0.8159340659340659,0.8159340659340659,0.8531725124190878,0.6300627049488097,0.704319616553659,0.18406593406593408
knn,261263,0.7014728973616118,0.6840113528855251,0.9565217391304348,0.2505694760820046,0.3971119133574008,0.7858974358974358,0.7858974358974358,0.7858974358974358,0.8712095875139353,0.5182334559897201,0.5915046746274183,0.21410256410256423
rf,261263,0.8575609468415271,0.7426679280983917,0.8678414096916299,0.44874715261959,0.5915915915915916,0.8121546961325966,0.8121546961325966,0.8121546961325966,0.8399980529121133,0.6304509243760933,0.7018731438620941,0.1878453038674034
gb,261263,0.831820259341988,0.7549668874172185,0.8214285714285714,0.5239179954441914,0.639777468706537,0.814336917562724,0.814336917562724,0.814336917562724,0.8178827444956477,0.6691274565034577,0.7270571931346305,0.18566308243727603
mlp,261263,0.8482429174867858,0.7899716177861873,0.8359133126934984,0.6150341685649203,0.7086614173228348,0.8357988165680474,0.8357988165680474,0.8357988165680474,0.8358560646307729,0.7254164925664839,0.7722301169454411,0.16420118343195256
