model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,19413,0.8456406513774318,0.7767265846736046,0.7811634349030471,0.642369020501139,0.705,0.8203957382039574,0.8203957382039574,0.8203957382039574,0.8007795865535022,0.7313823793525482,0.7626978691019787,0.1796042617960426
nb,19413,0.8480070180094509,0.7682119205298014,0.6963562753036437,0.7835990888382688,0.7374062165058949,0.7925486875529213,0.7925486875529213,0.7925486875529213,0.7444524814282825,0.7880738881955951,0.7649774520294081,0.2074513124470787
lsvm,19413,0.0,0.7852412488174078,0.7610837438423645,0.7038724373576309,0.7313609467455622,0.8211189913317573,0.8211189913317573,0.8211189913317573,0.7911013675870608,0.7624957143446941,0.7762399690386597,0.17888100866824275
sgd,19413,0.0,0.7738883632923368,0.7392344497607656,0.7038724373576309,0.721120186697783,0.8098647573587907,0.8098647573587907,0.8098647573587907,0.7745496035597781,0.7568685973582108,0.7654924720282869,0.1901352426412093
svm,19413,0.8619693183242292,0.793755912961211,0.8148148148148148,0.6514806378132119,0.7240506329113923,0.8353474320241692,0.8353474320241692,0.8353474320241692,0.8250811234194919,0.7434140349186905,0.7796990324677807,0.16465256797583083
knn,19413,0.8223676935665789,0.7407757805108799,0.7037037037037037,0.6492027334851936,0.6753554502369667,0.784251968503937,0.784251968503937,0.784251968503937,0.7439778361038203,0.7167273509945653,0.7298037093704519,0.21574803149606303
rf,19413,0.8544795099188358,0.7625354777672658,0.8133333333333334,0.5558086560364465,0.6603518267929634,0.8174545454545454,0.8174545454545454,0.8174545454545454,0.8153939393939393,0.686631600745496,0.7389031861237545,0.18254545454545457
gb,19413,0.8248962410892658,0.7634815515610217,0.8118811881188119,0.5603644646924829,0.6630727762803236,0.8177842565597667,0.8177842565597667,0.8177842565597667,0.8148327223392893,0.6890743606261248,0.7404285164200451,0.18221574344023328
mlp,19413,0.8619508886775623,0.7947019867549668,0.7775,0.7084282460136674,0.7413587604290821,0.8298039215686275,0.8298039215686275,0.8298039215686275,0.8036519607843138,0.7691160837911475,0.7855813409988548,0.17019607843137252
