model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,261263,0.8453605207480963,0.7691579943235572,0.7395577395577395,0.6856492027334852,0.7115839243498817,0.807570977917981,0.807570977917981,0.807570977917981,0.7735643587378602,0.7466100903257331,0.7595774511339314,0.19242902208201895
nb,261263,0.8538344722854974,0.7767265846736046,0.7182795698924731,0.7608200455580866,0.7389380530973452,0.8049586776859503,0.8049586776859503,0.8049586776859503,0.7616191237892117,0.7828893616220185,0.7719483653916477,0.1950413223140497
lsvm,261263,0.0,0.7672658467360454,0.7031578947368421,0.7608200455580866,0.7308533916849016,0.7949999999999999,0.7949999999999999,0.7949999999999999,0.749078947368421,0.7779100227790432,0.7629266958424508,0.20500000000000007
sgd,261263,0.0,0.7748344370860927,0.7072164948453609,0.7813211845102506,0.7424242424242424,0.8,0.8,0.8,0.7536082474226804,0.7906605922551253,0.7712121212121212,0.19999999999999996
svm,261263,0.8551466631281746,0.78240302743614,0.7801608579088471,0.662870159453303,0.7167487684729064,0.8233486943164362,0.8233486943164362,0.8233486943164362,0.8017547761126417,0.7431094268848696,0.7700487313946713,0.1766513056835638
knn,261263,0.8177234226065417,0.7483443708609272,0.6997690531177829,0.6902050113895216,0.694954128440367,0.785829307568438,0.785829307568438,0.785829307568438,0.7427991803431104,0.7380171594789798,0.7403917180044025,0.21417069243156195
rf,261263,0.8544131631908354,0.7559129612109745,0.8521400778210116,0.4988610478359909,0.6293103448275862,0.8180535966149507,0.8180535966149507,0.8180535966149507,0.8350968372179812,0.6584573222254708,0.7236819707212685,0.1819464033850493
gb,261263,0.82542701491327,0.7672658467360454,0.8184818481848185,0.5649202733485194,0.6684636118598383,0.8206997084548104,0.8206997084548104,0.8206997084548104,0.8195907783198144,0.692809990901665,0.7445816601573243,0.17930029154518956
mlp,261263,0.8691531945949533,0.7795648060548723,0.7330316742081447,0.7380410022779044,0.735527809307605,0.8110300081103001,0.8110300081103001,0.8110300081103001,0.7720308411592225,0.7745355051941023,0.7732789087089526,0.18896999188969987
