model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,23505,0.8506277137654716,0.7861873226111636,0.7766233766233767,0.6810933940774487,0.7257281553398058,0.8248062015503874,0.8248062015503874,0.8248062015503874,0.800714789086882,0.7529497978139181,0.7752671784450966,0.17519379844961258
nb,23505,0.8288383425112974,0.7436140018921475,0.6721311475409836,0.7471526195899773,0.7076591154261057,0.771693344566133,0.771693344566133,0.771693344566133,0.7219122460535583,0.7594229820780551,0.7396762299961194,0.22830665543386697
lsvm,23505,0.0,0.7691579943235572,0.7480916030534351,0.6697038724373576,0.7067307692307692,0.8096723868954757,0.8096723868954757,0.8096723868954757,0.7788819949744554,0.7396881296664166,0.7582015780631224,0.19032761310452428
sgd,23505,0.0,0.7757805108798487,0.7439613526570048,0.7015945330296127,0.7221570926143024,0.8120539254559873,0.8120539254559873,0.8120539254559873,0.7780076390564961,0.7568242292428,0.7671055090351449,0.1879460745440127
svm,23505,0.8655741572122579,0.7776726584673604,0.8128834355828221,0.6036446469248291,0.6928104575163399,0.8257968865826538,0.8257968865826538,0.8257968865826538,0.819340161082738,0.7147207667537414,0.7593036720494968,0.17420311341734618
knn,23505,0.7051883141296414,0.6991485335856197,0.8853503184713376,0.31662870159453305,0.4664429530201343,0.7905138339920948,0.7905138339920948,0.7905138339920948,0.8379320762317162,0.553571267793314,0.6284783935061146,0.20948616600790515
rf,23505,0.8548775902868391,0.7663197729422895,0.8428571428571429,0.5375854214123007,0.6564673157162726,0.8229390681003584,0.8229390681003584,0.8229390681003584,0.8328981054787506,0.6802622447563296,0.7397031919083155,0.17706093189964156
gb,23505,0.8487792202047902,0.7776726584673604,0.81875,0.5968109339407744,0.6903820816864294,0.8265682656826567,0.8265682656826567,0.8265682656826567,0.8226591328413284,0.7116895998117156,0.7584751736845431,0.17343173431734327
mlp,23505,0.8543652461095016,0.7852412488174078,0.7453703703703703,0.7334851936218679,0.7393800229621125,0.8173773129525341,0.8173773129525341,0.8173773129525341,0.7813738416614522,0.775431253287201,0.7783786679573232,0.18262268704746587
