model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,5000,0.8421574481574039,0.771996215704825,0.776536312849162,0.6332574031890661,0.6976160602258469,0.8170083523158694,0.8170083523158694,0.8170083523158694,0.7967723325825158,0.7251328777524677,0.7573122062708582,0.18299164768413057
nb,5000,0.8368275943413613,0.7568590350047304,0.6798418972332015,0.7835990888382688,0.728042328042328,0.7801539777587682,0.7801539777587682,0.7801539777587682,0.7299979374959848,0.7818765332985185,0.7540981529005482,0.21984602224123184
lsvm,5000,0.0,0.7682119205298014,0.7365853658536585,0.6879271070615034,0.7114252061248527,0.8063241106719368,0.8063241106719368,0.8063241106719368,0.7714547382627976,0.7471256088667201,0.7588746583983947,0.19367588932806323
sgd,5000,0.0,0.7625354777672658,0.7315270935960592,0.6765375854214123,0.7029585798816568,0.8022064617809299,0.8022064617809299,0.8022064617809299,0.7668667776884945,0.7393720236011712,0.7525825208312933,0.1977935382190701
svm,5000,0.8590924504795394,0.7890255439924314,0.8103448275862069,0.642369020501139,0.7166454891994917,0.8319517709118311,0.8319517709118311,0.8319517709118311,0.821148299249019,0.7371603957064851,0.7742986300556614,0.16804822908816885
knn,5000,0.8149129014898526,0.7313150425733207,0.6534653465346535,0.7517084282460137,0.6991525423728814,0.7572649572649574,0.7572649572649574,0.7572649572649574,0.7053651518998054,0.7544866927554855,0.7282087498189194,0.24273504273504265
rf,5000,0.8436613073254159,0.7748344370860927,0.7815126050420168,0.6355353075170843,0.7010050251256281,0.819423368740516,0.819423368740516,0.819423368740516,0.8004679868912664,0.7274793381288002,0.760214196933072,0.18057663125948398
gb,5000,0.8188144576892171,0.760643330179754,0.7980769230769231,0.5671981776765376,0.6631158455392809,0.8143800440205431,0.8143800440205431,0.8143800440205431,0.8062284835487331,0.6907891108485403,0.738747944779912,0.1856199559794569
mlp,5000,0.8440483299054191,0.7672658467360454,0.7139689578713969,0.7334851936218679,0.7235955056179776,0.7990196078431373,0.7990196078431373,0.7990196078431373,0.7564942828572672,0.7662524007325027,0.7613075567305574,0.2009803921568627
