model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,5000,0.8292677532786341,0.7748344370860927,0.7531486146095718,0.6810933940774487,0.7153110047846889,0.8137715179968701,0.8137715179968701,0.8137715179968701,0.783460066303221,0.7474324560371595,0.7645412613907795,0.1862284820031299
nb,5000,0.7996291955090638,0.7133396404919584,0.6268656716417911,0.765375854214123,0.6892307692307692,0.7339771729587357,0.7339771729587357,0.7339771729587357,0.6804214223002634,0.7496765135864294,0.7116039710947524,0.26602282704126434
lsvm,5000,0.0,0.7568590350047304,0.7156398104265402,0.6879271070615034,0.7015098722415795,0.7948922585794094,0.7948922585794094,0.7948922585794094,0.7552660345029748,0.7414096828204564,0.7482010654104945,0.20510774142059063
sgd,5000,0.0,0.7341532639545885,0.6680851063829787,0.715261958997722,0.6908690869086909,0.766804979253112,0.766804979253112,0.766804979253112,0.7174450428180453,0.741033469125417,0.7288370330809014,0.23319502074688803
svm,5000,0.8533921607654937,0.7701040681173131,0.7951807228915663,0.6013667425968109,0.6848249027237353,0.8190618019359643,0.8190618019359643,0.8190618019359643,0.8071212624137654,0.7102142722663876,0.7519433523298498,0.18093819806403566
knn,5000,0.7431128410406117,0.7019867549668874,0.803921568627451,0.3735763097949886,0.5101088646967341,0.7858599592114208,0.7858599592114208,0.7858599592114208,0.7948907639194359,0.5797181345032048,0.6479844119540774,0.21414004078857918
rf,5000,0.8477766474261155,0.7757805108798487,0.8117283950617284,0.5990888382687927,0.6893840104849279,0.8245743893412287,0.8245743893412287,0.8245743893412287,0.8181513922014786,0.7118316138050107,0.7569791999130784,0.17542561065877127
gb,5000,0.8444445673087555,0.7691579943235572,0.7981651376146789,0.5945330296127562,0.681462140992167,0.8189910979228486,0.8189910979228486,0.8189910979228486,0.8085781177687638,0.7067620637678025,0.7502266194575078,0.18100890207715137
mlp,5000,0.8443210886760878,0.7653736991485336,0.7290167865707434,0.6924829157175398,0.7102803738317757,0.8028616852146264,0.8028616852146264,0.8028616852146264,0.7659392358926849,0.7476723004660831,0.7565710295232011,0.19713831478537358
