model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,156333,0.8401633603880546,0.7578051087984863,0.7376623376623377,0.6469248291571754,0.6893203883495146,0.8015503875968993,0.8015503875968993,0.8015503875968993,0.7696063626296186,0.7242376083770374,0.745435387973207,0.19844961240310066
nb,156333,0.8515233945934789,0.7653736991485336,0.6969072164948453,0.7699316628701595,0.7316017316017316,0.7915966386554621,0.7915966386554621,0.7915966386554621,0.7442519275751538,0.7807641507628108,0.7615991851285968,0.20840336134453785
lsvm,156333,0.0,0.7928098391674551,0.7511415525114156,0.7494305239179955,0.750285062713797,0.8229587712206953,0.8229587712206953,0.8229587712206953,0.7870501618660555,0.7861946475693453,0.7866219169672461,0.17704122877930473
sgd,156333,0.0,0.7871333964049196,0.7377777777777778,0.7562642369020501,0.7469066366704161,0.816326530612245,0.816326530612245,0.816326530612245,0.7770521541950114,0.7862953837571476,0.7816165836413306,0.18367346938775497
svm,156333,0.8556921806695121,0.7738883632923368,0.7702702702702703,0.6492027334851936,0.7045735475896169,0.8168582375478927,0.8168582375478927,0.8168582375478927,0.7935642539090815,0.7330304855165432,0.7607158925687547,0.18314176245210734
knn,156333,0.7954935827970306,0.7152317880794702,0.6306818181818182,0.7585421412300684,0.688728024819028,0.7375762859633826,0.7375762859633826,0.7375762859633826,0.6841290520726004,0.7480592135967254,0.7131521553912052,0.26242371403661735
rf,156333,0.8486004526321221,0.7530747398297067,0.8531746031746031,0.489749430523918,0.622286541244573,0.8165846802529867,0.8165846802529867,0.8165846802529867,0.8348796417137949,0.6531670553884523,0.7194356107487798,0.1834153197470133
gb,156333,0.8429204355294101,0.7663197729422895,0.7742857142857142,0.6173120728929385,0.6869455006337135,0.8135849056603773,0.8135849056603773,0.8135849056603773,0.7939353099730457,0.7154484892766579,0.7502652031470454,0.18641509433962267
mlp,156333,0.8745272795629961,0.7928098391674551,0.7511415525114156,0.7494305239179955,0.750285062713797,0.8229587712206953,0.8229587712206953,0.8229587712206953,0.7870501618660555,0.7861946475693453,0.7866219169672461,0.17704122877930473
