model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,129594,0.8501927741041351,0.771996215704825,0.7487437185929648,0.6788154897494305,0.7120669056152927,0.8112764291307754,0.8112764291307754,0.8112764291307754,0.78001007386187,0.7450459594401029,0.761671667373034,0.18872357086922464
nb,129594,0.8581470096055318,0.7805108798486282,0.7197452229299363,0.7722095671981777,0.7450549450549451,0.8073089700996678,0.8073089700996678,0.8073089700996678,0.763527096514802,0.7897592686489228,0.7761819575773065,0.19269102990033216
lsvm,129594,0.0,0.783349101229896,0.7430555555555556,0.7312072892938497,0.7370838117106774,0.8157683024939663,0.8157683024939663,0.8157683024939663,0.779411929024761,0.7734877958939079,0.7764260571023218,0.18423169750603374
sgd,129594,0.0,0.78240302743614,0.7306843267108167,0.7539863325740319,0.7421524663677129,0.8117839607201309,0.8117839607201309,0.8117839607201309,0.7712341437154738,0.7828851466470814,0.776968213543922,0.18821603927986907
svm,129594,0.8603751538875498,0.7909176915799432,0.793010752688172,0.6719817767653758,0.7274969173859434,0.8303914044512662,0.8303914044512662,0.8303914044512662,0.8117010785697192,0.751186590608321,0.7789441609186047,0.16960859554873375
knn,129594,0.817832157521876,0.7445600756859035,0.6960556844547564,0.683371298405467,0.689655172413793,0.7829581993569132,0.7829581993569132,0.7829581993569132,0.7395069419058349,0.7331647488811901,0.7363066858853531,0.21704180064308676
rf,129594,0.8584603135988678,0.7483443708609272,0.8446215139442231,0.48291571753986334,0.6144927536231883,0.8132022471910112,0.8132022471910112,0.8132022471910112,0.8289118805676172,0.6480589823654372,0.7138475004070998,0.1867977528089888
gb,129594,0.8208306610345667,0.759697256385998,0.8114478114478114,0.5489749430523918,0.654891304347826,0.8156748911465892,0.8156748911465892,0.8156748911465892,0.8135613512972003,0.6823249170994905,0.7352830977472076,0.1843251088534108
mlp,129594,0.8667757701749343,0.7890255439924314,0.7454545454545455,0.7471526195899773,0.7463026166097839,0.8194331983805668,0.8194331983805668,0.8194331983805668,0.7824438719175562,0.783292908985272,0.7828679074951754,0.18056680161943317
