model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,384642,0.8311954943199831,0.7530747398297067,0.7192118226600985,0.6651480637813212,0.6911242603550296,0.7943262411347518,0.7943262411347518,0.7943262411347518,0.7567690318974252,0.7297371524580365,0.7427252507448907,0.2056737588652482
nb,384642,0.851394387066811,0.7691579943235572,0.7002053388090349,0.7767653758542141,0.7365010799136069,0.7946127946127945,0.7946127946127945,0.7946127946127945,0.7474090667109148,0.7856890852335043,0.7655569372632007,0.20538720538720545
lsvm,384642,0.0,0.78240302743614,0.7228144989339019,0.7722095671981777,0.7466960352422907,0.8092868988391376,0.8092868988391376,0.8092868988391376,0.7660506988865198,0.7907482330186577,0.7779914670407142,0.19071310116086237
sgd,384642,0.0,0.7861873226111636,0.7186858316221766,0.7972665148063781,0.755939524838013,0.8097643097643098,0.8097643097643098,0.8097643097643098,0.7642250706932432,0.803515412285344,0.7828519173011614,0.1902356902356902
svm,384642,0.8474836160441132,0.771050141911069,0.7519181585677749,0.6697038724373576,0.708433734939759,0.8115264797507789,0.8115264797507789,0.8115264797507789,0.7817223191592768,0.7406151760940682,0.759980107345269,0.18847352024922115
knn,384642,0.7972775725943781,0.7142857142857143,0.6299810246679317,0.7562642369020501,0.6873706004140787,0.7369337979094076,0.7369337979094076,0.7369337979094076,0.6834574112886697,0.7465990174057289,0.7121521991617432,0.2630662020905924
rf,384642,0.8499513457327996,0.771050141911069,0.8773946360153256,0.5216400911161732,0.6542857142857142,0.8288543140028288,0.8288543140028288,0.8288543140028288,0.8531244750090772,0.675247202559501,0.7415700141442716,0.17114568599717117
gb,384642,0.8416285172980664,0.7615894039735099,0.7590027700831025,0.6241457858769932,0.685,0.8082191780821918,0.8082191780821918,0.8082191780821918,0.7836109740826471,0.7161824819795926,0.746609589041096,0.1917808219178082
mlp,384642,0.8779515079136904,0.7871333964049196,0.7377777777777778,0.7562642369020501,0.7469066366704161,0.816326530612245,0.816326530612245,0.816326530612245,0.7770521541950114,0.7862953837571476,0.7816165836413306,0.18367346938775497
