model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,5000,0.8355928080146846,0.7805108798486282,0.7660668380462725,0.6788154897494305,0.7198067632850241,0.8195956454121306,0.8195956454121306,0.8195956454121306,0.7928312417292016,0.7492055675807805,0.7697012043485774,0.1804043545878694
nb,5000,0.805875002764447,0.7209082308420057,0.6651376146788991,0.6605922551252847,0.6628571428571429,0.761904761904762,0.761904761904762,0.761904761904762,0.7135211882918305,0.7112485085150233,0.7123809523809524,0.23809523809523803
lsvm,5000,0.0,0.7521286660359509,0.7132530120481928,0.6742596810933941,0.6932084309133489,0.7920634920634921,0.7920634920634921,0.7920634920634921,0.7526582520558425,0.7331615865784431,0.7426359614884206,0.20793650793650786
sgd,5000,0.0,0.7615894039735099,0.7129840546697038,0.7129840546697038,0.7129840546697038,0.7961165048543688,0.7961165048543688,0.7961165048543688,0.7545502797620363,0.7545502797620363,0.7545502797620363,0.2038834951456312
svm,5000,0.8628760569402364,0.7776726584673604,0.8072289156626506,0.6104783599088838,0.695201037613489,0.8250186150409532,0.8250186150409532,0.8250186150409532,0.8161237653518019,0.7177484874749185,0.760109826327221,0.1749813849590468
knn,5000,0.7328438419178627,0.7057710501419111,0.8809523809523809,0.33712984054669703,0.48764415156507407,0.7936297279362974,0.7936297279362974,0.7936297279362974,0.8372910544443392,0.5653797842414972,0.6406369397506857,0.20637027206370262
rf,5000,0.8553715048175097,0.7701040681173131,0.8223684210526315,0.5694760820045558,0.6729475100942126,0.8227571115973742,0.8227571115973742,0.8227571115973742,0.8225627663250028,0.696116596800965,0.7478523108457934,0.1772428884026258
gb,5000,0.8489635166714583,0.7748344370860927,0.8092307692307692,0.5990888382687927,0.6884816753926701,0.8237037037037037,0.8237037037037037,0.8237037037037037,0.8164672364672365,0.7113962709862482,0.756092689548187,0.17629629629629628
mlp,5000,0.8355412050040176,0.7757805108798487,0.7512437810945274,0.6879271070615034,0.718192627824019,0.8138256087981147,0.8138256087981147,0.8138256087981147,0.782534694946321,0.750876357929809,0.7660091183110669,0.18617439120188528
