model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,5000,0.8447818298427582,0.7890255439924314,0.7918918918918919,0.6674259681093394,0.7243510506798517,0.8291187739463602,0.8291187739463602,0.8291187739463602,0.8105053329191261,0.7482723710278498,0.776734912313106,0.17088122605363976
nb,5000,0.8161495307811959,0.6887417218543046,0.5873015873015873,0.8428246013667426,0.6922357343311507,0.6851674641148326,0.6851674641148326,0.6851674641148326,0.63623452570821,0.7639960327407876,0.6887015992229917,0.31483253588516735
lsvm,5000,0.0,0.7729422894985809,0.7420924574209246,0.6947608200455581,0.7176470588235294,0.810126582278481,0.810126582278481,0.810126582278481,0.7761095198497028,0.7524437011620195,0.7638868205510052,0.189873417721519
sgd,5000,0.0,0.7644276253547777,0.7305825242718447,0.6856492027334852,0.7074030552291422,0.8028503562945368,0.8028503562945368,0.8028503562945368,0.7667164402831907,0.7442497795140111,0.7551267057618395,0.19714964370546317
svm,5000,0.8506313996948051,0.7814569536423841,0.8170731707317073,0.6104783599088838,0.6988265971316818,0.8285077951002228,0.8285077951002228,0.8285077951002228,0.822790482915965,0.7194930775045533,0.7636671961159522,0.17149220489977723
knn,5000,0.7352673404545489,0.7095553453169348,0.8333333333333334,0.37585421412300685,0.5180533751962323,0.7921462423832093,0.7921462423832093,0.7921462423832093,0.8127397878582714,0.584000228253108,0.6550998087897208,0.2078537576167907
rf,5000,0.8538676456494977,0.7767265846736046,0.7721179624664879,0.6560364464692483,0.7093596059113301,0.8187403993855606,0.8187403993855606,0.8187403993855606,0.7954291809260243,0.7373884229274045,0.7640500026484454,0.18125960061443935
gb,5000,0.8305891589446447,0.7663197729422895,0.826530612244898,0.5535307517084282,0.6630286493860846,0.8211440984793628,0.8211440984793628,0.8211440984793628,0.8238373553621303,0.6873374250938955,0.7420863739327237,0.17885590152063724
mlp,5000,0.8331490368666652,0.7634815515610217,0.7962382445141066,0.5785876993166287,0.6701846965699209,0.8156342182890856,0.8156342182890856,0.8156342182890856,0.8059362314015961,0.6971109588028571,0.7429094574295032,0.18436578171091444
