model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,5000,0.8413649733507309,0.7682119205298014,0.7694444444444445,0.6309794988610479,0.6933667083854819,0.8136882129277566,0.8136882129277566,0.8136882129277566,0.7915663286861006,0.7223338558944022,0.7535274606566192,0.18631178707224338
nb,5000,0.8271188564772837,0.7350993377483444,0.6453382084095064,0.8041002277904328,0.7160243407707912,0.7517730496453902,0.7517730496453902,0.7517730496453902,0.6985556290274483,0.7779366387179114,0.7338986952080907,0.24822695035460984
lsvm,5000,0.0,0.7672658467360454,0.7347931873479319,0.6879271070615034,0.7105882352941175,0.8053797468354431,0.8053797468354431,0.8053797468354431,0.7700864670916875,0.7466534269484733,0.7579839910647803,0.1946202531645569
sgd,5000,0.0,0.7653736991485336,0.7417721518987341,0.6674259681093394,0.7026378896882493,0.8062499999999999,0.8062499999999999,0.8062499999999999,0.774011075949367,0.7368379840546697,0.7544439448441246,0.1937500000000001
svm,5000,0.8499089575454659,0.7738883632923368,0.7857142857142857,0.6264236902050114,0.697084917617237,0.819622641509434,0.819622641509434,0.819622641509434,0.8026684636118598,0.7230231658572227,0.7583537795633355,0.18037735849056602
knn,5000,0.8009764026804078,0.7294228949858089,0.6597077244258872,0.7198177676537585,0.6884531590413944,0.7608695652173912,0.7608695652173912,0.7608695652173912,0.7102886448216392,0.7403436664355749,0.7246613621293928,0.23913043478260876
rf,5000,0.8408157698800598,0.7625354777672658,0.7625698324022346,0.621867881548975,0.6850690087829361,0.809415337889142,0.809415337889142,0.809415337889142,0.7859925851456884,0.7156416097190585,0.747242173336039,0.190584662110858
gb,5000,0.8180017102712107,0.7540208136234626,0.7993311036789298,0.5444191343963554,0.6476964769647696,0.811046511627907,0.811046511627907,0.811046511627907,0.8051888076534184,0.6777328230121311,0.7293714942963383,0.18895348837209303
mlp,5000,0.8353863959720164,0.7748344370860927,0.7753424657534247,0.6446469248291572,0.7039800995024875,0.818320610687023,0.818320610687023,0.818320610687023,0.7968315382202238,0.7314837677580901,0.7611503550947553,0.181679389312977
