model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,204927,0.9042508417508417,0.7620578778135049,0.7142857142857143,0.9659090909090909,0.821256038647343,0.6442307692307692,0.6442307692307692,0.6442307692307692,0.6792582417582418,0.80506993006993,0.7327434039390561,0.35576923076923084
nb,204927,0.9002946127946128,0.7620578778135049,0.7142857142857143,0.9659090909090909,0.821256038647343,0.6442307692307692,0.6442307692307692,0.6442307692307692,0.6792582417582418,0.80506993006993,0.7327434039390561,0.35576923076923084
lsvm,204927,0.0,0.8327974276527331,0.7952380952380952,0.9488636363636364,0.8652849740932642,0.7796610169491526,0.7796610169491526,0.7796610169491526,0.7874495560936239,0.8642623266563945,0.8224729955212084,0.22033898305084743
sgd,204927,0.0,0.8392282958199357,0.8058252427184466,0.9431818181818182,0.8691099476439791,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7987459546925566,0.8674242424242424,0.8303883071553229,0.20833333333333326
svm,204927,0.9157407407407407,0.7652733118971061,0.7191489361702128,0.9602272727272727,0.8223844282238443,0.6540284360189573,0.6540284360189573,0.6540284360189573,0.6865886860945851,0.8071278543731151,0.7382064321214008,0.3459715639810427
knn,204927,0.8644149831649831,0.7942122186495176,0.788659793814433,0.8693181818181818,0.8270270270270269,0.7460317460317459,0.7460317460317459,0.7460317460317459,0.7673457699230894,0.8076749639249639,0.7865293865293864,0.25396825396825407
rf,204927,0.9200547138047137,0.8327974276527331,0.7980769230769231,0.9431818181818182,0.8645833333333335,0.7815126050420168,0.7815126050420168,0.7815126050420168,0.78979476405947,0.8623472116119175,0.8230479691876751,0.2184873949579832
gb,204927,0.8797558922558922,0.8038585209003215,0.8074866310160428,0.8579545454545454,0.8319559228650136,0.7644787644787644,0.7644787644787644,0.7644787644787644,0.7859826977474036,0.8112166549666548,0.798217343671889,0.2355212355212356
mlp,204927,0.9201599326599326,0.8263665594855305,0.7904761904761904,0.9431818181818182,0.8601036269430051,0.7711864406779662,0.7711864406779662,0.7711864406779662,0.7808313155770783,0.8571841294298922,0.8156450338104857,0.22881355932203384
