model,vocab,acc_mean,acc_std,pre_mean,pre_std,rec_mean,rec_std,f1_mean,f1_std,auc_mean,auc_std,fpr_mean,fpr_std
lr,23422.0,0.7770643401852012,0.0067898789934849125,0.7610449847631722,0.02278301688413341,0.6771616687989516,0.027593619897316762,0.7158355667626577,0.009586466991844894,0.8454437717068866,0.011901026486904756,0.1836114361402429,0.007989870694600696
nb,23422.0,0.6801666738338923,0.006970749998929243,0.7531087850111744,0.017761587739735105,0.34291821387337346,0.035297416608779025,0.4697531077367142,0.030163432164099745,0.7611509716535275,0.0065282688091813125,0.2291786385654247,0.0028782616920270663
lsvm,23422.0,0.7547352068461339,0.012195735394421994,0.7180499372646055,0.01970823604293896,0.6748848046098959,0.028285201744217548,0.6953167384571796,0.016873089533518973,0.0,0.0,0.20539705267329164,0.011024112154622361
sgd,23422.0,0.76192608440125,0.011501946318232495,0.7182018203118828,0.023146073874040978,0.7045183636533842,0.028360441694683335,0.7105744549445865,0.013203269549864333,0.0,0.0,0.2024487574035419,0.012528076002715388
svm,23422.0,0.7641920028095525,0.0204564490574857,0.7865722855551015,0.016196905057133545,0.5937238014998805,0.06984492059246951,0.6741047009266898,0.04413879411583405,0.8410030815892423,0.01370176119924469,0.18519921220895783,0.011315147171989717
knn,23422.0,0.6841412588515238,0.008744130694951474,0.8504593815683655,0.0428308426682037,0.2913741275834451,0.022668939459045058,0.43316646047438195,0.023973187193080076,0.7009772237534484,0.02718072041238079,0.21900229949023622,0.005812909545696373
rf,23422.0,0.748483056678421,0.02270383673307204,0.8132297476041476,0.02647756980184979,0.5130121384216931,0.06804233557257829,0.626153711493648,0.05006442804051781,0.8352071801908199,0.014828204435296512,0.1899218933543466,0.013709291886894518
gb,23422.0,0.7475387746910925,0.007073847140433809,0.7658366789175973,0.0144365476205257,0.5654413829687647,0.03325409932969246,0.6497006739700846,0.018621888611741626,0.8205734224202155,0.011020275676244005,0.1975069961523108,0.004181379695244673
mlp,23422.0,0.7653294415297726,0.00657607673047694,0.7547092052595974,0.03862874660819181,0.6520537543815854,0.05113884652999293,0.6967347868024578,0.015892797105199773,0.8273145469984684,0.010480388764982017,0.19207840145181967,0.011022959768744131
