model,vocab,acc_mean,acc_std,pre_mean,pre_std,rec_mean,rec_std,f1_mean,f1_std,auc_mean,auc_std,fpr_mean,fpr_std
lr,19455.0,0.779333663025716,0.005202439533205677,0.7641409650637098,0.015524684404833216,0.6785325719516128,0.0219552825909041,0.7183609746643113,0.008757611331276432,0.840223667606603,0.007005583272572929,0.1814921268814968,0.00517835073337699
nb,19455.0,0.678463561824489,0.007682791285191609,0.764236334284286,0.02098230842924196,0.3274180630532239,0.0330762406808718,0.45702723388632416,0.02982515841495811,0.780938704375034,0.0062719070712785735,0.22857482862779457,0.0041851780455185944
lsvm,19455.0,0.7583268828301941,0.011045490952871207,0.7169603206534872,0.012743787731389847,0.6903839152910829,0.02703756366200681,0.7031600288916805,0.016543040932627474,0.0,0.0,0.20387954614833675,0.008563617393766782
sgd,19455.0,0.7607897207648863,0.010956452689451375,0.7319065930377022,0.01832366405102248,0.6694147138057644,0.017905904962933764,0.699037205395343,0.013011756084594414,0.0,0.0,0.19854927257931393,0.010082115365714841
svm,19455.0,0.7617314942232161,0.0189613034470589,0.7841213273475373,0.01106970167715788,0.5882599515295245,0.06276786014954894,0.6702365705694586,0.039903864769036956,0.842763129758221,0.015171801419829054,0.18686721268727666,0.010753300973492214
knn,19455.0,0.6869782259682922,0.010359322710606723,0.8291737651900715,0.03907835944900667,0.31189190875901024,0.03659456322173396,0.45133133946384946,0.03655433366895604,0.7046735193331164,0.011823567007350114,0.2191644949727091,0.005529822427580248
rf,19455.0,0.7655156102175968,0.014844316888405939,0.8037128886090583,0.010327300431882607,0.5763971666614659,0.05294084761824956,0.6697522544909122,0.0329494196760172,0.8466929740628851,0.013829168252084358,0.18202232058325032,0.00788059229361128
gb,19455.0,0.7439415441071071,0.016905178898803244,0.7830105218918183,0.007535881227040395,0.52942345097305,0.050457270753543705,0.630488283014692,0.037777246623196585,0.8190238396143654,0.01616546554415708,0.19611593206742345,0.009223045256921875
mlp,19455.0,0.779146598434678,0.006195767494377593,0.7600604336618719,0.015948594070312936,0.6849294265713899,0.02424649295521154,0.7200661674911945,0.009959407377563834,0.8340081349935456,0.008244293672389632,0.18247724390310882,0.005995974898328696
