model,vocab,acc_mean,acc_std,pre_mean,pre_std,rec_mean,rec_std,f1_mean,f1_std,auc_mean,auc_std,fpr_mean,fpr_std
lr,384783.0,0.7439476362489608,0.01956104999044186,0.6994196966215153,0.03396704731995598,0.6767154491840109,0.033045614982390864,0.6868804581654032,0.020361239175085238,0.8108932721708957,0.016092515877420357,0.21691715023517064,0.01987182601024172
nb,384783.0,0.7295619391645881,0.009189883323943014,0.6512569453564823,0.016907850534716544,0.7537731040867061,0.03517712542187077,0.6979893507408828,0.010693123621317174,0.8227144067036466,0.008345698137162436,0.2452890642592135,0.013014787418996636
lsvm,384783.0,0.7636308090364382,0.01775756436114724,0.6959049029082054,0.026794663955237663,0.7679221143944831,0.03186230956353212,0.7294776439625261,0.018680010830570883,0.0,0.0,0.21014471964806347,0.01818307171372079
sgd,384783.0,0.7628732332788625,0.020074119848865462,0.6916115650198761,0.027532726645159225,0.7765843916747278,0.028636834471982783,0.7311454283983935,0.020440791736317576,0.0,0.0,0.2123043895509184,0.020264664219050644
svm,384783.0,0.7534087325478054,0.013321350218005745,0.7294050882008459,0.026930196166253598,0.6489021333250122,0.046801297183835,0.6852531213971839,0.02276943617736227,0.8238215318966031,0.01702078172798637,0.2031087902334709,0.011720295178966661
knn,384783.0,0.6689999569966458,0.026596979179781197,0.5817664848972303,0.026570197150839938,0.7227644813347063,0.02970100763814798,0.6445353972307213,0.026796119084999768,0.7243210308246084,0.028786878617674885,0.30978891879211234,0.026685752389203517
rf,384783.0,0.7286129984805482,0.011321467339900616,0.8293822744182924,0.022976854250704188,0.43776224503593675,0.04651191044582485,0.5709052534735247,0.03587885007282678,0.8217497534984014,0.015076637927748661,0.19871501489172247,0.00504136180922387
gb,384783.0,0.740349151400476,0.004025002559695157,0.737126912794283,0.031938610587855965,0.5882339480554603,0.048741128580834944,0.6518229313402639,0.019308117925934613,0.8080884515468547,0.013519617222513523,0.20759038240483832,0.007395990299071653
mlp,384783.0,0.7592740317078065,0.012329207431203243,0.6953677201285482,0.02441816491205831,0.751506641287276,0.03599364193118069,0.7213884018698676,0.013403410011811006,0.8424663088332286,0.013139909015734823,0.21228981353557114,0.01415993752053714
