model,vocab,acc_mean,acc_std,pre_mean,pre_std,rec_mean,rec_std,f1_mean,f1_std,auc_mean,auc_std,fpr_mean,fpr_std
lr,261665.0,0.7579514993836186,0.013770080071584857,0.7238836661870257,0.020752064288376115,0.6753549474209755,0.035590065039143776,0.6980828880974583,0.020385146758452755,0.8295538698228387,0.015805667467889334,0.2021946343647814,0.011686468737344009
nb,261665.0,0.742433380637023,0.00932394886000397,0.6728493036459794,0.0169656066992122,0.7410126792939536,0.02773245599621216,0.7047286293377917,0.010449308262635359,0.8264529352636065,0.0072992133669838215,0.22866528150433102,0.011491743172636737
lsvm,261665.0,0.7640095969152261,0.018036781713060907,0.6924335892338878,0.024095808888661138,0.77840983555403,0.026006658857819526,0.732518216028194,0.018612880935103392,0.0,0.0,0.2113033978780277,0.018217044993165177
sgd,261665.0,0.7579520369255468,0.015089743292408683,0.6808637369831761,0.021991394596655726,0.7870648318615368,0.017630351917670713,0.7297918030672007,0.013314851382044862,0.0,0.0,0.2193595840640825,0.016601295198445828
svm,261665.0,0.7623032596542529,0.013297304702117761,0.7515339224677955,0.021261994133471854,0.6397842751791639,0.03754717998132885,0.690329976393192,0.021959138573436773,0.8355058277364558,0.015072496950021087,0.19306496477049653,0.010472756411559621
knn,261665.0,0.7053376121670822,0.012383880324455102,0.6419465991406147,0.015372894912693672,0.6561851863408952,0.01566666531425577,0.6489339040373604,0.014308096520774879,0.7639654299328263,0.01765589177134084,0.2538975547035056,0.011146748382362298
rf,261665.0,0.7354243714343053,0.019734875093349757,0.8328106046093808,0.01683709437222096,0.45327591766259967,0.05229660481520107,0.5854705506666378,0.04491172210520334,0.8370237670846425,0.016640897824814056,0.194476127832076,0.0114983481189698
gb,261665.0,0.7390235730053611,0.005523606077199095,0.7687068474318192,0.012063184786019691,0.5316940743283303,0.025810945431768022,0.6280458831591658,0.015611789305028807,0.8128525507083785,0.011598389377009563,0.20110424101017815,0.003102991523541896
mlp,261665.0,0.7681705298013244,0.008813359431882183,0.7046455286202944,0.012575489975111744,0.7606182585993488,0.016520968686418926,0.7314057336212479,0.00980308862963612,0.8476974642230571,0.008570786621391263,0.203976206858911,0.008706115253474374
