model,vocab,acc_mean,acc_std,pre_mean,pre_std,rec_mean,rec_std,f1_mean,f1_std,auc_mean,auc_std,fpr_mean,fpr_std
lr,129745.0,0.7645763452882658,0.01645775543917754,0.7437732988208612,0.02768501790368332,0.6621233396781809,0.03477337389497058,0.6998408896477328,0.022771824998359225,0.8359358851789551,0.013724022470641948,0.19384658757035983,0.014092424869078544
nb,129745.0,0.6701361414523667,0.007864961011419874,0.8798407462457696,0.035755822385629174,0.23803892199997917,0.013737499881275421,0.3744586804347759,0.017928207064380003,0.8176190366465242,0.010165485346987677,0.22400767311873077,0.0052872841310790996
lsvm,129745.0,0.7729028697571744,0.013979509769765626,0.716933630114091,0.02042076928323981,0.7496801572690112,0.025309212805725456,0.7325789306562229,0.016073833805092176,0.0,0.0,0.19746251583835295,0.013273777974355345
sgd,129745.0,0.7676009145380006,0.009207509925586603,0.7043992344736689,0.012591963190695978,0.7587886541641964,0.015525730867497556,0.7304581228690772,0.01020118995783677,0.0,0.0,0.20429885903555683,0.008874764191016514
svm,129745.0,0.7676030647057137,0.014225392175748763,0.7649482556752287,0.026174193772180752,0.6370455892907292,0.03265683232627191,0.6944014878563853,0.020890507357119257,0.8427277182038295,0.012413472094245818,0.18765420728915372,0.01202580266529597
knn,129745.0,0.7059050772626931,0.014217790883772986,0.642828723920427,0.017877046269112292,0.6561883067577828,0.022098487590708017,0.6493077796349717,0.01774956308043476,0.7643200880800903,0.016989753220233744,0.253288276523676,0.012444516190084316
rf,129745.0,0.7473468722227,0.019776926731617007,0.8415477724610714,0.0250347691212538,0.48246013667425974,0.05248608492141296,0.6116003816681167,0.04298432343099959,0.8440406217149793,0.015535261443017317,0.18742497207724462,0.012115982049948895
gb,129745.0,0.7405374702560132,0.008760766663620275,0.7679511795738088,0.013542174581660358,0.5380878085312197,0.035820612033525635,0.6318666994499738,0.022895897263679243,0.8141802305419779,0.01139606788376681,0.2004994687505904,0.004701242661816784
mlp,129745.0,0.764764843324446,0.011549353908215971,0.7097212914890053,0.016731592277001144,0.7337077833598569,0.01188033336482146,0.7214246915444766,0.012131741178663159,0.8483731731899973,0.01124864981586611,0.20359531074264337,0.011012779276781324
