model,vocab,acc_mean,acc_std,pre_mean,pre_std,rec_mean,rec_std,f1_mean,f1_std,auc_mean,auc_std,fpr_mean,fpr_std
lr,129745.0,0.7842561136435309,0.008268331047892786,0.7943972547620575,0.018328133526140048,0.6488917319353866,0.02562030303175499,0.7137964434201555,0.013779828377428836,0.8537086946651741,0.010317500984570616,0.17322049014140023,0.006722665245414872
nb,129745.0,0.6701361414523667,0.007864961011419874,0.8798407462457696,0.035755822385629174,0.23803892199997917,0.013737499881275421,0.3744586804347759,0.017928207064380003,0.8176190366465242,0.010165485346987677,0.22400767311873077,0.0052872841310790996
lsvm,129745.0,0.7778215575814913,0.0110545812650132,0.77479161925176,0.017254940535438832,0.6557368864480295,0.027587522898379284,0.7098933377886409,0.017355807214063518,0.0,0.0,0.1801110728362677,0.008545106602044978
sgd,129745.0,0.7740358289613256,0.015127003895156007,0.7648404078265113,0.03329823217406068,0.6630313809925006,0.053288086020663136,0.708066920047552,0.025080501738199125,0.0,0.0,0.18485788009032095,0.01410666062608072
svm,129745.0,0.7501856311458961,0.018552772141350628,0.8339070009977796,0.012714679684871751,0.49795612693855895,0.05954579625739962,0.6211938548699302,0.04477769429728154,0.8428123665711615,0.014069477494526875,0.1866559790739051,0.009966871529325627
knn,129745.0,0.6867888320288982,0.011059103364161786,0.8580288319008421,0.045754359598831826,0.29730291967006794,0.04402644770388011,0.4386013740715716,0.044750667028859506,0.6782858786975833,0.015583889696859692,0.21745779323259393,0.004723469146068593
rf,129745.0,0.7422364611106332,0.02114001059696201,0.8481165182629571,0.017099497987900916,0.46194131535973204,0.05988927325645525,0.5957777105913389,0.04958668668643065,0.8448379705725568,0.014418644849216535,0.18946970452540784,0.01205027074681546
gb,129745.0,0.7403455677876207,0.012827945751752069,0.778856422737394,0.005214934606935901,0.5225782964604071,0.03868911245706963,0.6247396093741245,0.02898660536590058,0.816901922610666,0.014937703295735877,0.19862783181778174,0.006948590517246202
mlp,129745.0,0.7878520899630171,0.007689599868489644,0.7814568446632764,0.004351043700566414,0.6785419332022758,0.02029282902466097,0.726243929968911,0.012916468554675868,0.8482724635190312,0.008201856896933646,0.1732000290059053,0.005131639824695162
