model,vocab,acc_mean,acc_std,pre_mean,pre_std,rec_mean,rec_std,f1_mean,f1_std,auc_mean,auc_std,fpr_mean,fpr_std
lr,156182.0,0.7776323428227402,0.01195033856734186,0.7753415741472437,0.025463927320519317,0.6557368864480295,0.031604136981344996,0.709697243029699,0.017350287217467373,0.8451494776559697,0.011733573149858633,0.18038101108198376,0.010716346191718643
nb,156182.0,0.6784633826438462,0.010314971100026778,0.8341567109786785,0.029085186657165828,0.2818173307953943,0.027037223738429882,0.42043630834070667,0.03005323497239774,0.7885151170808672,0.011700413634163843,0.222568071134861,0.006159487093547234
lsvm,156182.0,0.7694962873770821,0.014710889845218645,0.7570290838305922,0.030384871951512862,0.6571015487669152,0.021720957349023445,0.7029879362258579,0.016373114548889314,0.0,0.0,0.18846231775689115,0.01385394843649765
sgd,156182.0,0.7628716206530776,0.015329398066053558,0.7284539552983913,0.01879730063581948,0.6835647642525041,0.025743716146059664,0.7051368714575913,0.02014202515032089,0.0,0.0,0.19834165430246029,0.012596820910588436
svm,156182.0,0.7532134256472005,0.023694114651821467,0.8197930216063831,0.01529162467137618,0.5207653342486556,0.0762466835658925,0.6333624456614332,0.05472737104772099,0.8345521177220767,0.010906437521617797,0.18647025067630715,0.012982879056427143
knn,156182.0,0.6790281600298156,0.016185956892754334,0.8713175238403936,0.04442507874485979,0.2676558388200664,0.045290096100089834,0.40689397205987704,0.052603117405266075,0.6786086055695073,0.029202565726339398,0.22023191186154484,0.008643185433606263
rf,156182.0,0.7382634887187868,0.019064559972730873,0.8261160928329726,0.0191204497772223,0.46923789018212825,0.0622523730439975,0.5956779908824921,0.047645761978888104,0.8321129409724989,0.01617298171857758,0.1938478060530526,0.010224295572376592
gb,156182.0,0.7401579656546544,0.008313829086461272,0.758016121552574,0.01863766191471757,0.5517614753331045,0.04630258712125806,0.6369215081890552,0.025856260227542175,0.8139272128293845,0.01060573901360499,0.20265848680448925,0.00432033154986057
mlp,156182.0,0.7747914337318311,0.009412843890942098,0.7658060937715607,0.031906901298153725,0.6648485037601024,0.058886223567505946,0.7089759951002856,0.02334324359290051,0.8390283750470736,0.015018774329601341,0.18429458014419506,0.008365622413526298
