model,vocab,acc_mean,acc_std,pre_mean,pre_std,rec_mean,rec_std,f1_mean,f1_std,auc_mean,auc_std,fpr_mean,fpr_std
lr,55325.0,0.6911409506608182,0.024063430059101575,0.6651693049107992,0.034319375614673485,0.5143830415743543,0.042989433013335104,0.5796809284680207,0.03760638308005475,0.7478675390362736,0.023340108268978466,0.24424567225522473,0.01789961287525175
nb,55325.0,0.6990919125025086,0.01761260466351706,0.6613248124101742,0.0234382311638728,0.5631457962783827,0.02793130756057627,0.6081905758495157,0.025347884048018285,0.7606547123632358,0.013776022500620657,0.24428239108178226,0.013651598780580051
lsvm,55325.0,0.6941701786072647,0.012040505397639241,0.6315319485553619,0.011431041794510344,0.6311063958144809,0.03402445215500391,0.6309883667875614,0.020695682737914445,0.0,0.0,0.2612777171781048,0.008195157921361752
sgd,55325.0,0.6932233880909378,0.018068689963037655,0.6245441019939804,0.020080826418639508,0.654361822739518,0.033997625943164425,0.6388043273601368,0.023621375910431872,0.0,0.0,0.2667701002145439,0.01566875662883653
svm,55325.0,0.6941674908976234,0.023502830110846796,0.6897265311485318,0.036964343252665365,0.4774435464578068,0.041407259100052,0.5638401410552041,0.03876969165963443,0.7543293464735279,0.022616294996341327,0.23556587400790613,0.016923188909291013
knn,55325.0,0.6269817379088902,0.020338867167054728,0.5423764817923276,0.02396720712599345,0.6780634692794958,0.030827510335936097,0.601515085269738,0.0045850869300958705,0.7007085303267416,0.019693091839191417,0.3519600296222052,0.033587000698141786
rf,55325.0,0.6710770190074826,0.018650213276456634,0.6216508833059028,0.029300356233486095,0.5330545760913659,0.015019431365091141,0.573776781985021,0.01940017797107571,0.733784971749195,0.02496390983184122,0.2678647254123968,0.017363502942167708
gb,55325.0,0.640044006765861,0.010091488923480212,0.6223178352280053,0.01834843634186386,0.3365348810601096,0.02038352912801317,0.43671534256287325,0.021394914171863597,0.693406937322323,0.015338548903005955,0.2645096801485636,0.006310588712159824
mlp,55325.0,0.7002250508873026,0.012040325185266059,0.6476089309192758,0.016680272113167378,0.6110483560603697,0.04603071320854346,0.627755710710034,0.02381291075725153,0.7706245481206939,0.011944466091411182,0.2513720026098589,0.01020974539085192
