model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,75682,0.9113591852722287,0.841642228739003,0.7663551401869159,0.7387387387387387,0.7522935779816514,0.8836206896551724,0.8836206896551724,0.8836206896551724,0.8249879149210442,0.8111797141969556,0.817957133818412,0.11637931034482762
nb,75682,0.8846063454759105,0.8181818181818182,0.6842105263157895,0.8198198198198198,0.7459016393442622,0.858447488584475,0.858447488584475,0.858447488584475,0.7713290074501322,0.8391336542021474,0.8021745639643686,0.14155251141552505
lsvm,75682,0.0,0.841642228739003,0.7614678899082569,0.7477477477477478,0.7545454545454546,0.8831168831168832,0.8831168831168832,0.8831168831168832,0.82229238651257,0.8154323154323155,0.8188311688311689,0.11688311688311681
sgd,75682,0.0,0.8357771260997068,0.7165354330708661,0.8198198198198198,0.7647058823529411,0.8738738738738738,0.8738738738738738,0.8738738738738738,0.79520465347237,0.8468468468468469,0.8192898781134075,0.12612612612612617
svm,75682,0.9122600861731297,0.844574780058651,0.8372093023255814,0.6486486486486487,0.7309644670050761,0.890721649484536,0.890721649484536,0.890721649484536,0.8639654759050588,0.7696851490665924,0.8108430582448061,0.10927835051546397
knn,75682,0.673325499412456,0.7243401759530792,0.9047619047619048,0.17117117117117117,0.2878787878787879,0.8290909090909091,0.8290909090909091,0.8290909090909091,0.8669264069264069,0.5001310401310401,0.5584848484848485,0.1709090909090909
rf,75682,0.8895808852330591,0.8035190615835777,0.7972972972972973,0.5315315315315315,0.6378378378378379,0.8651911468812876,0.8651911468812876,0.8651911468812876,0.8312442220892924,0.6983613392064096,0.7515144923595627,0.13480885311871238
gb,75682,0.9131218174696435,0.8387096774193549,0.8043478260869565,0.6666666666666666,0.729064039408867,0.8851774530271399,0.8851774530271399,0.8851774530271399,0.8447626395570482,0.7759220598469032,0.8071207462180034,0.1148225469728601
mlp,75682,0.9063063063063063,0.844574780058651,0.7457627118644068,0.7927927927927928,0.7685589519650654,0.8830022075055188,0.8830022075055188,0.8830022075055188,0.8143824596849628,0.8378975001491558,0.8257805797352922,0.11699779249448117
