model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,202199,0.9192322757540148,0.841642228739003,0.7663551401869159,0.7387387387387387,0.7522935779816514,0.8836206896551724,0.8836206896551724,0.8836206896551724,0.8249879149210442,0.8111797141969556,0.817957133818412,0.11637931034482762
nb,202199,0.8815315315315315,0.8357771260997068,0.706766917293233,0.8468468468468469,0.7704918032786884,0.8721461187214611,0.8721461187214611,0.8721461187214611,0.7894565180073471,0.859496482784154,0.8213189610000747,0.12785388127853892
lsvm,202199,0.0,0.8357771260997068,0.7477477477477478,0.7477477477477478,0.7477477477477479,0.8782608695652175,0.8782608695652175,0.8782608695652175,0.8130043086564827,0.8130043086564827,0.8130043086564827,0.12173913043478246
sgd,202199,0.0,0.8533724340175953,0.7364341085271318,0.8558558558558559,0.7916666666666666,0.8868778280542987,0.8868778280542987,0.8868778280542987,0.8116559682907152,0.8713668419550773,0.8392722473604827,0.11312217194570129
svm,202199,0.9037211124167646,0.8035190615835777,0.7972972972972973,0.5315315315315315,0.6378378378378379,0.8651911468812876,0.8651911468812876,0.8651911468812876,0.8312442220892924,0.6983613392064096,0.7515144923595627,0.13480885311871238
knn,202199,0.6322561692126909,0.7155425219941349,0.8888888888888888,0.14414414414414414,0.24806201550387597,0.8245931283905967,0.8245931283905967,0.8245931283905967,0.8567410086397428,0.4843686362673704,0.5363275719472363,0.17540687160940327
rf,202199,0.9014296905601253,0.8005865102639296,0.8208955223880597,0.4954954954954955,0.6179775280898877,0.865079365079365,0.865079365079365,0.865079365079365,0.8429874437337124,0.6802874302874302,0.7415284465846264,0.134920634920635
gb,202199,0.9233450842146493,0.8357771260997068,0.7777777777777778,0.6936936936936937,0.7333333333333334,0.8813559322033899,0.8813559322033899,0.8813559322033899,0.8295668549905839,0.7875248129485418,0.8073446327683617,0.11864406779661008
mlp,202199,0.891186839012926,0.8504398826979472,0.75,0.8108108108108109,0.7792207792207791,0.8869179600886917,0.8869179600886917,0.8869179600886917,0.8184589800443458,0.8488643854497513,0.8330693696547354,0.11308203991130827
