model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,15864,0.9171954563258911,0.8328445747800587,0.7454545454545455,0.7387387387387387,0.7420814479638009,0.8763557483731019,0.8763557483731019,0.8763557483731019,0.8109051469138238,0.8075472435559203,0.8092185981684514,0.12364425162689807
nb,15864,0.8813160987074031,0.8181818181818182,0.6737588652482269,0.8558558558558559,0.7539682539682541,0.8558139534883721,0.8558139534883721,0.8558139534883721,0.7647864093682994,0.855834904672114,0.8048911037283131,0.14418604651162792
lsvm,15864,0.0,0.8181818181818182,0.7058823529411765,0.7567567567567568,0.7304347826086957,0.8628318584070798,0.8628318584070798,0.8628318584070798,0.7843571056741281,0.8097943075819183,0.7966333205078877,0.13716814159292023
sgd,15864,0.0,0.841642228739003,0.7394957983193278,0.7927927927927928,0.7652173913043478,0.8805309734513274,0.8805309734513274,0.8805309734513274,0.8100133858853276,0.83666188312206,0.8228741823778376,0.11946902654867264
svm,15864,0.9146886016451234,0.8328445747800587,0.7872340425531915,0.6666666666666666,0.7219512195121951,0.8805031446540881,0.8805031446540881,0.8805031446540881,0.8338685936036399,0.7735849056603774,0.8012271820831416,0.11949685534591192
knn,15864,0.758499804151978,0.7536656891495601,0.8461538461538461,0.2972972972972973,0.44000000000000006,0.8421052631578948,0.8421052631578948,0.8421052631578948,0.8441295546558705,0.569701280227596,0.6410526315789474,0.1578947368421052
rf,15864,0.9106541323932629,0.8093841642228738,0.7948717948717948,0.5585585585585585,0.656084656084656,0.8681541582150101,0.8681541582150101,0.8681541582150101,0.8315129765434024,0.7133563583867844,0.7621194071498331,0.13184584178498993
gb,15864,0.918292205248727,0.8181818181818182,0.7525773195876289,0.6576576576576577,0.701923076923077,0.869198312236287,0.869198312236287,0.869198312236287,0.8108878159119579,0.7634279849469723,0.785560694579682,0.13080168776371304
mlp,15864,0.8750881316098706,0.8211143695014663,0.7049180327868853,0.7747747747747747,0.7381974248927038,0.8641425389755012,0.8641425389755012,0.8641425389755012,0.7845302858811932,0.819458656875138,0.8011699819341025,0.1358574610244988
