model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,88653,0.9207598903251076,0.841642228739003,0.7663551401869159,0.7387387387387387,0.7522935779816514,0.8836206896551724,0.8836206896551724,0.8836206896551724,0.8249879149210442,0.8111797141969556,0.817957133818412,0.11637931034482762
nb,88653,0.8880532706619664,0.8240469208211144,0.6834532374100719,0.8558558558558559,0.7600000000000001,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.7722821742605915,0.8584834834834836,0.8105555555555557,0.13888888888888884
lsvm,88653,0.0,0.8387096774193549,0.7592592592592593,0.7387387387387387,0.7488584474885844,0.8812095032397408,0.8812095032397408,0.8812095032397408,0.8202343812495001,0.8099741209892397,0.8150339753641627,0.11879049676025921
sgd,88653,0.0,0.8328445747800587,0.725,0.7837837837837838,0.7532467532467533,0.8736141906873615,0.8736141906873615,0.8736141906873615,0.7993070953436807,0.8286989872355726,0.8134304719670573,0.12638580931263854
svm,88653,0.9113200156678417,0.8269794721407625,0.7888888888888889,0.6396396396396397,0.7064676616915422,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.8331138831138831,0.7584892584892585,0.7919032695152097,0.12266112266112261
knn,88653,0.6854876615746182,0.7302052785923754,0.9130434782608695,0.1891891891891892,0.3134328358208956,0.8321167883211679,0.8321167883211679,0.8321167883211679,0.8725801332910187,0.5106529887551785,0.5727748120710318,0.16788321167883213
rf,88653,0.9018409714061888,0.8123167155425219,0.8051948051948052,0.5585585585585585,0.6595744680851063,0.8704453441295547,0.8704453441295547,0.8704453441295547,0.83782007466218,0.7145019513440566,0.7650099061073306,0.12955465587044535
gb,88653,0.9238151194672933,0.8240469208211144,0.7628865979381443,0.6666666666666666,0.7115384615384616,0.8734177215189874,0.8734177215189874,0.8734177215189874,0.8181521597285659,0.770042194092827,0.7924780915287245,0.12658227848101256
mlp,88653,0.9023501762632197,0.8592375366568915,0.7560975609756098,0.8378378378378378,0.7948717948717948,0.8928571428571428,0.8928571428571428,0.8928571428571428,0.8244773519163763,0.8653474903474903,0.8438644688644688,0.1071428571428572
