model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,14228,0.6979166666666666,0.75,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6743589743589744,0.766025641025641,0.7150997150997151
bernoulli naive-bayes,14228,0.8020833333333333,0.75,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6743589743589744,0.766025641025641,0.7150997150997151
multinomial naive-bayes,14228,0.71875,0.6,0.7,0.5833333333333334,0.6363636363636365,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6277777777777778,0.5694444444444444,0.595959595959596
linear svm,14228,0.0,0.7,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.5714285714285715,0.5714285714285715,0.5714285714285715,0.6428571428571429,0.7023809523809524,0.6703296703296704
knn,14228,0.6302083333333333,0.55,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6428571428571428,0.49404761904761907,0.5488721804511278
sgd,14228,0.0,0.75,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6743589743589744,0.766025641025641,0.7150997150997151
random forest,14228,0.6354166666666666,0.65,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.5053475935828877,0.6401515151515151,0.561128526645768
gradient boosting,14228,0.71875,0.7,0.6875,0.9166666666666666,0.7857142857142857,0.5,0.5,0.5,0.59375,0.7083333333333333,0.6428571428571428
mlp,14228,0.78125,0.65,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.6577540106951871,0.6274509803921569,0.6419437340153453
