model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,13653,0.9014168353375402,0.8195266272189349,0.8048780487804879,0.5945945945945946,0.683937823834197,0.8737060041407868,0.8737060041407868,0.8737060041407868,0.8392920264606374,0.7341502993676907,0.7788219139874919,0.1262939958592132
nb,13653,0.9063777433821486,0.8224852071005917,0.7475728155339806,0.6936936936936937,0.719626168224299,0.8701298701298702,0.8701298701298702,0.8701298701298702,0.8088513428319254,0.781911781911782,0.7948780191770846,0.1298701298701298
lsvm,13653,0.0,0.8372781065088757,0.7692307692307693,0.7207207207207207,0.7441860465116278,0.8806941431670281,0.8806941431670281,0.8806941431670281,0.8249624561988986,0.8007074319438744,0.812440094839328,0.1193058568329719
sgd,13653,0.0,0.8313609467455622,0.7454545454545455,0.7387387387387387,0.7420814479638009,0.8747252747252747,0.8747252747252747,0.8747252747252747,0.8100899100899102,0.8067320067320067,0.8084033613445378,0.12527472527472527
svm,13653,0.9090764773584157,0.8372781065088757,0.8255813953488372,0.6396396396396397,0.7208121827411168,0.8851774530271398,0.8851774530271398,0.8851774530271398,0.8553794241879885,0.7624085463333897,0.8029948178841283,0.1148225469728602
knn,13653,0.8200976306703178,0.7307692307692307,0.5657894736842105,0.7747747747747747,0.6539923954372624,0.7796610169491524,0.7796610169491524,0.7796610169491524,0.6727252453166814,0.7772178958619635,0.7168267061932074,0.22033898305084765
rf,13653,0.9073302377267136,0.8284023668639053,0.8441558441558441,0.5855855855855856,0.6914893617021277,0.8811475409836066,0.8811475409836066,0.8811475409836066,0.8626516925697254,0.733366563284596,0.7863184513428672,0.11885245901639341
gb,13653,0.9018533952454657,0.8372781065088757,0.7916666666666666,0.6846846846846847,0.7342995169082125,0.88272921108742,0.88272921108742,0.88272921108742,0.8371979388770433,0.7837069478860523,0.8085143639978163,0.11727078891258003
mlp,13653,0.9178076755169267,0.8313609467455622,0.7755102040816326,0.6846846846846847,0.7272727272727272,0.8779443254817987,0.8779443254817987,0.8779443254817987,0.8267272647817157,0.7813145050832417,0.8026085263772629,0.12205567451820132
