model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,156591,0.8940350041671628,0.8076923076923077,0.7738095238095238,0.5855855855855856,0.6666666666666666,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8193371943371943,0.7252252252252253,0.7657657657657657,0.1351351351351351
nb,156591,0.9117752113346826,0.8254437869822485,0.7653061224489796,0.6756756756756757,0.7177033492822966,0.8736616702355461,0.8736616702355461,0.8736616702355461,0.8194838963422628,0.7746686729556109,0.7956825097589213,0.12633832976445392
lsvm,156591,0.0,0.8402366863905325,0.7614678899082569,0.7477477477477478,0.7545454545454546,0.881578947368421,0.881578947368421,0.881578947368421,0.8215234186383389,0.8146633475580844,0.8180622009569378,0.11842105263157898
sgd,156591,0.0,0.8284023668639053,0.7304347826086957,0.7567567567567568,0.7433628318584071,0.8711111111111112,0.8711111111111112,0.8711111111111112,0.8007729468599034,0.813933933933934,0.8072369714847591,0.12888888888888883
svm,156591,0.9005834027860459,0.8195266272189349,0.8125,0.5855855855855856,0.6806282722513088,0.8742268041237115,0.8742268041237115,0.8742268041237115,0.8433634020618557,0.7299061948546486,0.7774275381875102,0.12577319587628855
knn,156591,0.8375997142516967,0.772189349112426,0.6328125,0.7297297297297297,0.6778242677824267,0.8237986270022881,0.8237986270022881,0.8237986270022881,0.7283055635011441,0.7767641783660089,0.7508114473923574,0.17620137299771188
rf,156591,0.8818708576417826,0.7899408284023669,0.803030303030303,0.4774774774774775,0.5988700564971752,0.8577154308617233,0.8577154308617233,0.8577154308617233,0.8303728669460131,0.6675964541696005,0.7282927436794493,0.1422845691382767
gb,156591,0.8957812437988649,0.8195266272189349,0.7314814814814815,0.7117117117117117,0.7214611872146119,0.8665207877461707,0.8665207877461707,0.8665207877461707,0.7990011346138262,0.7891162497289412,0.7939909874803913,0.1334792122538293
mlp,156591,0.9107433424614042,0.8372781065088757,0.8589743589743589,0.6036036036036037,0.708994708994709,0.8870636550308009,0.8870636550308009,0.8870636550308009,0.8730190070025798,0.7453336293172023,0.798029182012755,0.11293634496919913
