model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,74680,0.9123308330356789,0.8372781065088757,0.78,0.7027027027027027,0.7393364928909952,0.8817204301075269,0.8817204301075269,0.8817204301075269,0.8308602150537634,0.7922115664051148,0.810528461499261,0.11827956989247312
nb,74680,0.8842520935031949,0.8313609467455622,0.7327586206896551,0.7657657657657657,0.748898678414097,0.8730512249443207,0.8730512249443207,0.8730512249443207,0.802904922816988,0.8194084953550432,0.8109749516792089,0.12694877505567925
lsvm,74680,0.0,0.8254437869822485,0.7549019607843137,0.6936936936936937,0.7230046948356808,0.8725701943844493,0.8725701943844493,0.8725701943844493,0.8137360775843815,0.7831319440390715,0.797787444610065,0.12742980561555073
sgd,74680,0.0,0.8402366863905325,0.7663551401869159,0.7387387387387387,0.7522935779816514,0.8820960698689956,0.8820960698689956,0.8820960698689956,0.8242256050279557,0.8104174043038672,0.8171948239253235,0.11790393013100442
svm,74680,0.9008215263721872,0.8284023668639053,0.8192771084337349,0.6126126126126126,0.7010309278350516,0.8796680497925311,0.8796680497925311,0.8796680497925311,0.849472579113133,0.7461403312025718,0.7903494888137914,0.1203319502074689
knn,74680,0.654105647497718,0.7248520710059172,0.95,0.17117117117117117,0.29007633587786263,0.8293577981651375,0.8293577981651375,0.8293577981651375,0.8896788990825688,0.5002644846681543,0.5597170670215001,0.17064220183486245
rf,74680,0.8868912965829265,0.7928994082840237,0.8059701492537313,0.4864864864864865,0.6067415730337079,0.8594377510040161,0.8594377510040161,0.8594377510040161,0.8327039501288738,0.6729621187452512,0.733089662018862,0.1405622489959839
gb,74680,0.9093146009445569,0.8284023668639053,0.7912087912087912,0.6486486486486487,0.7128712871287128,0.8776371308016877,0.8776371308016877,0.8776371308016877,0.8344229610052394,0.7631428897251682,0.7952542089652003,0.1223628691983123
mlp,74680,0.8949081239830138,0.834319526627219,0.7391304347826086,0.7657657657657657,0.7522123893805309,0.8755555555555555,0.8755555555555555,0.8755555555555555,0.807342995169082,0.8206606606606606,0.8138839724680432,0.12444444444444447
