model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,87627,0.9199111005278406,0.8313609467455622,0.7647058823529411,0.7027027027027027,0.7323943661971832,0.8768898488120951,0.8768898488120951,0.8768898488120951,0.8207978655825181,0.7897962757573989,0.8046421075046392,0.12311015118790491
nb,87627,0.8868714529507481,0.8461538461538461,0.7398373983739838,0.8198198198198198,0.7777777777777778,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8110951697752271,0.8510863804981452,0.8300653594771241,0.11764705882352944
lsvm,87627,0.0,0.8165680473372781,0.7474747474747475,0.6666666666666666,0.7047619047619048,0.8669527896995707,0.8669527896995707,0.8669527896995707,0.8072137685871591,0.7668097281831187,0.7858573472307377,0.13304721030042932
sgd,87627,0.0,0.8402366863905325,0.7142857142857143,0.8558558558558559,0.7786885245901639,0.8750000000000001,0.8750000000000001,0.8750000000000001,0.7946428571428572,0.865427927927928,0.826844262295082,0.12499999999999989
svm,87627,0.9040758820494504,0.8254437869822485,0.825,0.5945945945945946,0.6910994764397906,0.8783505154639175,0.8783505154639175,0.8783505154639175,0.8516752577319587,0.7364725550292561,0.7847249959518541,0.12164948453608249
knn,87627,0.6607929515418502,0.7218934911242604,0.9473684210526315,0.16216216216216217,0.27692307692307694,0.8278388278388278,0.8278388278388278,0.8278388278388278,0.8876036244457297,0.495000495000495,0.5523809523809524,0.17216117216117222
rf,87627,0.8982815414533477,0.8106508875739645,0.8133333333333334,0.5495495495495496,0.6559139784946237,0.8693877551020408,0.8693877551020408,0.8693877551020408,0.841360544217687,0.7094686523257951,0.7626508667983323,0.1306122448979592
gb,87627,0.9232249871016391,0.834319526627219,0.8089887640449438,0.6486486486486487,0.72,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8456708526107072,0.7655007949125596,0.8011764705882353,0.11764705882352944
mlp,87627,0.9075286740484978,0.8372781065088757,0.7692307692307693,0.7207207207207207,0.7441860465116278,0.8806941431670281,0.8806941431670281,0.8806941431670281,0.8249624561988986,0.8007074319438744,0.812440094839328,0.1193058568329719
