model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,87627,0.9004246537286185,0.8165680473372781,0.7816091954022989,0.6126126126126126,0.686868686868687,0.8702928870292886,0.8702928870292886,0.8702928870292886,0.8259510412157938,0.7414527498209507,0.7785807869489878,0.12970711297071136
nb,87627,0.919514227884272,0.8372781065088757,0.7456140350877193,0.7657657657657657,0.7555555555555554,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8118314077877621,0.8219072731267854,0.8168021680216802,0.12195121951219512
lsvm,87627,0.0,0.8550295857988166,0.7870370370370371,0.7657657657657657,0.7762557077625571,0.8927789934354485,0.8927789934354485,0.8927789934354485,0.8399080152362428,0.8292723796006072,0.8345173505990029,0.10722100656455147
sgd,87627,0.0,0.849112426035503,0.7884615384615384,0.7387387387387387,0.7627906976744186,0.8893709327548807,0.8893709327548807,0.8893709327548807,0.8389162356082096,0.8140548357468097,0.8260808152146497,0.11062906724511934
svm,87627,0.9128864547366751,0.834319526627219,0.8235294117647058,0.6306306306306306,0.7142857142857143,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8534313725490196,0.756981981981982,0.7988095238095239,0.1166666666666667
knn,87627,0.8555780450053577,0.7869822485207101,0.6444444444444445,0.7837837837837838,0.7073170731707318,0.8325581395348837,0.8325581395348837,0.8325581395348837,0.7385012919896641,0.8081709616593338,0.7699376063528077,0.16744186046511633
rf,87627,0.9063380561177918,0.8195266272189349,0.8676470588235294,0.5315315315315315,0.6592178770949721,0.8772635814889337,0.8772635814889337,0.8772635814889337,0.8724553201562315,0.7043975565102326,0.7682407292919529,0.12273641851106631
gb,87627,0.9182243917926738,0.8284023668639053,0.7676767676767676,0.6846846846846847,0.7238095238095238,0.8755364806866953,0.8755364806866953,0.8755364806866953,0.8216066241817315,0.78011058268569,0.7996730022481096,0.12446351931330468
mlp,87627,0.923998888756598,0.8461538461538461,0.8241758241758241,0.6756756756756757,0.7425742574257425,0.890295358649789,0.890295358649789,0.890295358649789,0.8572355914128066,0.7829855171627323,0.8164348080377657,0.10970464135021096
