model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,15646,0.9010993372226853,0.8195266272189349,0.7717391304347826,0.6396396396396397,0.6995073891625616,0.8710359408033826,0.8710359408033826,0.8710359408033826,0.8213875356190826,0.7553377902215112,0.7852716649829721,0.12896405919661735
nb,15646,0.9144342580465928,0.8284023668639053,0.7387387387387387,0.7387387387387387,0.7387387387387387,0.8722466960352423,0.8722466960352423,0.8722466960352423,0.8054927173869906,0.8054927173869906,0.8054927173869906,0.1277533039647577
lsvm,15646,0.0,0.849112426035503,0.8,0.7207207207207207,0.7582938388625592,0.8903225806451613,0.8903225806451613,0.8903225806451613,0.8451612903225807,0.805521650682941,0.8243082097538603,0.10967741935483866
sgd,15646,0.0,0.8520710059171598,0.7961165048543689,0.7387387387387387,0.7663551401869159,0.8917748917748917,0.8917748917748917,0.8917748917748917,0.8439456983146303,0.8152568152568151,0.8290650159809038,0.10822510822510834
svm,15646,0.9191173552407033,0.8461538461538461,0.8314606741573034,0.6666666666666666,0.74,0.8907563025210085,0.8907563025210085,0.8907563025210085,0.861108488339156,0.7787114845938375,0.8153781512605043,0.10924369747899154
knn,15646,0.8443663928245424,0.7633136094674556,0.6115107913669064,0.7657657657657657,0.6799999999999999,0.812206572769953,0.812206572769953,0.812206572769953,0.7118586820684297,0.7889861692678594,0.7461032863849765,0.187793427230047
rf,15646,0.9083621065999921,0.8165680473372781,0.8266666666666667,0.5585585585585585,0.6666666666666666,0.8734693877551021,0.8734693877551021,0.8734693877551021,0.8500680272108844,0.7160139731568302,0.7700680272108844,0.12653061224489792
gb,15646,0.9152478469659087,0.834319526627219,0.8021978021978022,0.6576576576576577,0.7227722772277227,0.8818565400843882,0.8818565400843882,0.8818565400843882,0.8420271711410952,0.769757098871023,0.8023144086560554,0.11814345991561181
mlp,15646,0.9260229392387983,0.8431952662721893,0.7788461538461539,0.7297297297297297,0.7534883720930232,0.8850325379609546,0.8850325379609546,0.8850325379609546,0.8319393459035542,0.8073811338453422,0.8192604550269889,0.1149674620390454
