model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,74680,0.8970909235226415,0.8195266272189349,0.7976190476190477,0.6036036036036037,0.6871794871794872,0.8731808731808731,0.8731808731808731,0.8731808731808731,0.8353999603999605,0.7383922383922383,0.7801801801801802,0.12681912681912688
nb,74680,0.9109814660475453,0.8254437869822485,0.76,0.6846846846846847,0.7203791469194314,0.8731182795698924,0.8731182795698924,0.8731182795698924,0.8165591397849462,0.7789014821272886,0.7967487132446619,0.1268817204301076
lsvm,74680,0.0,0.8372781065088757,0.7592592592592593,0.7387387387387387,0.7488584474885844,0.8796498905908096,0.8796498905908096,0.8796498905908096,0.8194545749250344,0.8091943146647742,0.8142541690396969,0.12035010940919044
sgd,74680,0.0,0.8402366863905325,0.7614678899082569,0.7477477477477478,0.7545454545454546,0.881578947368421,0.881578947368421,0.881578947368421,0.8215234186383389,0.8146633475580844,0.8180622009569378,0.11842105263157898
svm,74680,0.9056038417271898,0.8313609467455622,0.8375,0.6036036036036037,0.7015706806282724,0.8824742268041238,0.8824742268041238,0.8824742268041238,0.8599871134020619,0.7430389152038637,0.7920224537161982,0.1175257731958762
knn,74680,0.8087073857998966,0.757396449704142,0.6013986013986014,0.7747747747747747,0.6771653543307086,0.8056872037914692,0.8056872037914692,0.8056872037914692,0.7035429025950353,0.790230989283122,0.7414262790610888,0.1943127962085308
rf,74680,0.9018930825098226,0.8076923076923077,0.8285714285714286,0.5225225225225225,0.6408839779005524,0.8686868686868687,0.8686868686868687,0.8686868686868687,0.8486291486291486,0.6956046956046956,0.7547854232937106,0.13131313131313127
gb,74680,0.906298368853435,0.8284023668639053,0.7572815533980582,0.7027027027027027,0.7289719626168224,0.8744588744588745,0.8744588744588745,0.8744588744588745,0.8158702139284664,0.7885807885807886,0.8017154185378484,0.1255411255411255
mlp,74680,0.9237210779060999,0.8402366863905325,0.7938144329896907,0.6936936936936937,0.7403846153846155,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8392149088025376,0.7891545391545391,0.8125,0.11538461538461542
